TimeStamps penX penY orAltitude orAzimuth orTwist pressure
1669004536010 1078 866 670 880 0 0
1669004536017 1147 758 660 920 0 0
1669004536021 1152 759 670 900 0 0
1669004536027 1154 761 670 900 0 0
1669004536034 1161 765 670 900 0 0
1669004536038 1168 771 680 900 0 0
1669004536044 1173 777 690 900 0 0
1669004536049 1177 783 690 900 0 0
1669004536056 1179 789 700 900 0 0
1669004536060 1180 794 700 900 0 0
1669004536067 1180 801 710 870 0 0
1669004536071 1180 801 710 870 0 0
1669004536077 1180 801 710 870 0 0
1669004536083 1180 801 710 870 0 0
1669004536089 1180 801 710 870 0 0
1669004536094 1180 801 710 870 0 0
1669004536100 1180 801 710 870 0 0
1669004536105 1180 801 710 870 0 0
1669004536110 1180 801 710 870 0 0
1669004536117 1180 801 710 870 0 0
1669004536122 1196 869 740 900 0 0
1669004536135 1196 869 740 900 0 0
1669004536145 1196 869 740 900 0 0
1669004536157 1196 869 740 900 0 0
1669004536167 1196 869 740 900 0 0
1669004536172 1196 869 740 900 0 0
1669004536177 1196 869 740 900 0 0
1669004536183 1196 869 740 900 0 0
1669004536188 1196 869 740 900 0 0
1669004536194 1196 869 740 900 0 0
1669004536200 1196 869 740 900 0 0
1669004536206 1196 869 740 900 0 0
1669004536211 1196 869 740 900 0 0
1669004536217 1227 891 660 900 0 0
1669004536222 1227 891 660 900 0 0
1669004536227 1228 890 650 900 0 0
1669004536234 1228 890 650 900 0 0
1669004536239 1229 889 640 900 0 0
1669004536244 1229 889 640 900 0 0
1669004536250 1229 887 630 900 0 0
1669004536255 1230 885 620 900 0 0
1669004536261 1232 882 620 900 0 0
1669004536267 1234 880 610 900 0 0
1669004536271 1235 877 610 900 0 0
1669004536278 1235 875 610 900 0 0
1669004536284 1235 873 600 900 0 0
1669004536289 1232 871 600 900 0 0
1669004536293 1228 870 600 900 0 0
1669004536300 1224 870 610 900 0 0
1669004536306 1219 871 610 900 0 0
1669004536311 1215 872 610 880 0 0
1669004536317 1212 874 610 880 0 0
1669004536322 1209 874 610 900 0 0
1669004536328 1210 874 610 900 0 0
1669004536334 1211 874 610 900 0 0
1669004536339 1211 874 610 900 0 0
1669004536344 1210 874 610 900 0 0
1669004536350 1210 874 610 900 0 0
1669004536356 1209 873 610 900 0 0
1669004536360 1209 871 610 900 0 0
1669004536367 1209 869 610 900 0 0
1669004536372 1211 866 610 900 0 0
1669004536377 1213 862 600 920 0 0
1669004536384 1214 859 600 920 0 0
1669004536389 1215 856 600 920 0 0
1669004536393 1216 852 600 920 0 0
1669004536399 1218 848 600 920 0 0
1669004536406 1218 844 600 920 0 0
1669004536410 1220 840 600 920 0 0
1669004536416 1222 836 590 930 0 0
1669004536421 1225 832 590 930 0 0
1669004536426 1227 829 590 930 0 0
1669004536433 1230 825 590 930 0 0
1669004536438 1233 822 590 930 0 0
1669004536443 1235 819 590 950 0 0
1669004536449 1238 817 590 950 0 0
1669004536455 1241 815 590 950 0 0
1669004536460 1243 813 590 970 0 0
1669004536472 1243 812 590 970 0 0
1669004536473 1242 812 590 970 0 0
1669004536477 1240 812 590 980 0 0
1669004536483 1236 815 590 980 0 315
1669004536488 1236 815 590 980 0 315
1669004536493 1236 815 590 980 0 320
1669004536499 1236 815 590 980 0 320
1669004536505 1236 815 590 980 0 318
1669004536511 1236 815 590 970 0 319
1669004536516 1209 862 590 970 0 319
1669004536521 1205 876 590 970 0 319
1669004536526 1202 891 590 950 0 349
1669004536534 1201 907 590 950 0 385
1669004536538 1201 924 590 950 0 408
1669004536543 1204 941 590 930 0 432
1669004536549 1209 957 590 930 0 452
1669004536556 1216 973 590 920 0 466
1669004536560 1225 987 600 920 0 473
1669004536566 1234 1000 600 900 0 480
1669004536572 1245 1012 600 900 0 485
1669004536577 1255 1022 600 880 0 489
1669004536583 1265 1030 610 880 0 492
1669004536588 1275 1036 610 880 0 495
1669004536593 1284 1041 610 860 0 498
1669004536599 1293 1044 620 860 0 499
1669004536605 1301 1046 620 840 0 500
1669004536610 1308 1047 630 840 0 500
1669004536616 1314 1047 630 840 0 500
1669004536621 1319 1047 640 820 0 487
1669004536627 1323 1047 640 820 0 468
1669004536634 1326 1047 640 820 0 441
1669004536638 1329 1047 640 820 0 413
1669004536643 1330 1046 640 800 0 376
1669004536650 1331 1045 640 800 0 312
1669004536656 1331 1044 640 800 0 252
1669004536661 1331 1042 640 800 0 203
1669004536667 1330 1039 640 800 0 151
1669004536671 1329 1036 640 800 0 98
1669004536677 1327 1031 640 800 0 33
1669004536683 1327 1031 640 800 0 0
1669004536688 1323 1019 640 800 0 0
1669004536693 1320 1011 640 800 0 0
1669004536705 1317 1003 640 800 0 0
1669004536707 1314 994 640 800 0 0
1669004536711 1312 986 640 800 0 0
1669004536716 1310 980 640 800 0 24
1669004536721 1310 980 640 820 0 24
1669004536726 1310 980 640 820 0 148
1669004536734 1310 980 640 820 0 198
1669004536738 1310 980 640 820 0 234
1669004536744 1310 980 640 820 0 273
1669004536749 1310 980 640 820 0 328
1669004536755 1310 980 640 820 0 350
1669004536761 1310 980 640 820 0 372
1669004536767 1310 980 640 820 0 394
1669004536771 1304 985 640 820 0 409
1669004536776 1302 991 640 820 0 421
1669004536783 1300 998 640 820 0 431
1669004536788 1297 1004 640 820 0 438
1669004536794 1293 1011 640 820 0 442
1669004536800 1289 1016 640 820 0 445
1669004536806 1285 1021 640 820 0 445
1669004536811 1280 1025 640 820 0 446
1669004536816 1275 1028 640 820 0 446
1669004536821 1270 1031 640 820 0 446
1669004536826 1265 1032 640 820 0 441
1669004536834 1260 1033 630 820 0 431
1669004536838 1254 1034 630 820 0 417
1669004536843 1249 1034 630 820 0 399
1669004536849 1243 1034 630 820 0 372
1669004536855 1237 1033 620 830 0 340
1669004536860 1231 1032 620 830 0 314
1669004536866 1225 1031 620 830 0 292
1669004536871 1220 1030 620 830 0 273
1669004536876 1214 1028 610 830 0 258
1669004536884 1209 1026 610 830 0 239
1669004536888 1204 1023 610 830 0 221
1669004536893 1199 1018 610 830 0 211
1669004536899 1194 1013 610 830 0 178
1669004536904 1190 1006 610 830 0 139
1669004536910 1185 997 600 830 0 86
1669004536917 1180 987 600 830 0 10
1669004536921 1180 987 600 830 0 0
1669004536927 1169 964 600 830 0 0
1669004536933 1163 952 590 850 0 0
1669004536938 1158 941 590 850 0 0
1669004536944 1155 932 590 850 0 0
1669004536956 1153 925 590 870 0 0
1669004536978 1153 920 580 880 0 0
1669004536980 1154 918 580 880 0 0
1669004536981 1155 916 580 880 0 150
1669004536982 1155 916 580 900 0 150
1669004536983 1155 916 570 900 0 249
1669004536984 1155 916 570 900 0 307
1669004536989 1155 916 570 900 0 353
1669004536993 1155 916 570 900 0 399
1669004536999 1155 916 580 900 0 435
1669004537006 1155 916 580 900 0 460
1669004537010 1155 916 580 920 0 481
1669004537016 1155 916 580 920 0 502
1669004537021 1205 895 580 920 0 517
1669004537026 1215 890 580 920 0 530
1669004537033 1227 886 590 920 0 539
1669004537038 1239 882 590 930 0 543
1669004537043 1251 879 590 930 0 543
1669004537049 1264 878 600 930 0 544
1669004537056 1276 877 600 930 0 544
1669004537060 1287 877 600 930 0 544
1669004537067 1297 878 610 940 0 535
1669004537071 1307 879 610 940 0 526
1669004537077 1316 881 620 940 0 518
1669004537084 1325 883 620 940 0 510
1669004537088 1334 884 630 940 0 502
1669004537093 1341 884 630 940 0 496
1669004537099 1348 885 640 940 0 492
1669004537104 1354 886 640 940 0 491
1669004537110 1358 886 640 940 0 491
1669004537117 1362 887 640 940 0 484
1669004537121 1364 888 640 940 0 476
1669004537127 1366 889 640 940 0 468
1669004537134 1368 892 640 940 0 462
1669004537138 1368 895 640 940 0 461
1669004537143 1368 899 650 940 0 461
1669004537149 1368 904 650 920 0 461
1669004537155 1367 909 650 920 0 462
1669004537160 1366 914 650 920 0 462
