TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
1670502849264 1670502849260 377 504 670 990 0 0
1670502849269 1670502849265 377 504 670 990 0 0
1670502849276 1670502849275 377 504 670 990 0 0
1670502849281 1670502849280 377 504 670 990 0 0
1670502849286 1670502849285 377 504 670 990 0 0
1670502849291 1670502849290 377 504 670 990 0 0
1670502849298 1670502849295 377 504 670 990 0 0
1670502849303 1670502849300 377 504 670 990 0 0
1670502849309 1670502849305 377 504 670 990 0 0
1670502849313 1670502849310 377 504 670 990 0 0
1670502849319 1670502849315 377 504 670 990 0 0
1670502849326 1670502849325 377 504 670 990 0 0
1670502849331 1670502849330 377 504 670 990 0 0
1670502849336 1670502849335 377 504 670 990 0 0
1670502849342 1670502849340 377 504 670 990 0 0
1670502849348 1670502849345 377 504 670 990 0 0
1670502849353 1670502849350 377 504 670 990 0 0
1670502849359 1670502849355 377 504 670 990 0 0
1670502849364 1670502849360 377 504 670 990 0 0
1670502849369 1670502849365 377 504 670 990 0 0
1670502849376 1670502849375 377 504 670 990 0 0
1670502849389 1670502849385 377 504 670 990 0 0
1670502849398 1670502849395 377 504 670 990 0 0
1670502849408 1670502849405 377 504 670 990 0 0
1670502849434 1670502849430 377 504 670 990 0 0
1670502849444 1670502849440 377 504 670 990 0 0
1670502849467 1670502849465 377 504 670 990 0 0
1670502849477 1670502849475 377 504 670 990 0 0
1670502849492 1670502849490 377 504 670 990 0 0
1670502849497 1670502849495 377 504 670 990 0 0
1670502849503 1670502849500 377 504 670 990 0 0
1670502849509 1670502849505 377 504 670 990 0 0
1670502849514 1670502849510 377 504 670 990 0 0
1670502849519 1670502849515 377 504 670 990 0 0
1670502849526 1670502849525 377 504 670 990 0 0
1670502849531 1670502849530 377 504 670 990 0 0
1670502849536 1670502849535 377 504 670 990 0 0
1670502849542 1670502849540 377 504 670 990 0 0
1670502849548 1670502849545 311 609 670 950 0 0
1670502849553 1670502849550 309 610 670 950 0 0
1670502849559 1670502849555 309 611 670 950 0 0
1670502849565 1670502849565 306 611 670 950 0 0
1670502849570 1670502849570 303 612 660 940 0 0
1670502849576 1670502849575 301 613 650 940 0 0
1670502849581 1670502849580 298 613 650 940 0 0
1670502849586 1670502849585 296 615 650 940 0 0
1670502849593 1670502849590 293 617 640 940 0 0
1670502849598 1670502849595 290 617 640 940 0 0
1670502849603 1670502849600 287 619 640 960 0 0
1670502849609 1670502849605 284 622 640 960 0 0
1670502849615 1670502849615 282 624 640 960 0 0
1670502849619 1670502849615 279 626 650 960 0 0
1670502849626 1670502849625 277 628 650 960 0 0
1670502849631 1670502849630 275 630 650 960 0 0
1670502849637 1670502849635 274 632 650 960 0 0
1670502849643 1670502849640 273 633 650 960 0 0
1670502849648 1670502849645 273 635 650 960 0 0
1670502849653 1670502849650 273 634 650 990 0 0
1670502849659 1670502849655 274 634 650 990 0 0
1670502849665 1670502849665 273 636 650 990 0 0
1670502849670 1670502849670 273 636 650 990 0 0
1670502849676 1670502849675 273 636 650 960 0 0
1670502849681 1670502849680 275 636 650 960 0 0
1670502849687 1670502849685 276 636 650 960 0 0
1670502849693 1670502849690 278 637 650 960 0 0
1670502849698 1670502849695 279 637 650 960 0 0
1670502849703 1670502849700 280 638 650 960 0 0
1670502849709 1670502849705 281 638 650 960 0 0
1670502849715 1670502849715 281 639 640 960 0 0
1670502849720 1670502849720 281 639 640 960 0 0
1670502849726 1670502849725 282 639 640 960 0 0
1670502849731 1670502849730 282 640 640 960 0 0
1670502849737 1670502849735 282 640 640 940 0 0
1670502849743 1670502849740 282 641 640 940 0 0
1670502849748 1670502849745 282 642 640 940 0 0
1670502849753 1670502849750 282 643 640 940 0 0
1670502849759 1670502849755 283 645 640 940 0 0
1670502849765 1670502849765 283 646 640 940 0 0
1670502849770 1670502849770 283 647 640 940 0 0
1670502849776 1670502849775 283 647 640 940 0 0
1670502849781 1670502849780 283 648 630 920 0 0
1670502849787 1670502849785 283 648 630 920 0 0
1670502849793 1670502849790 284 648 630 920 0 0
1670502849798 1670502849795 284 648 630 920 0 0
1670502849803 1670502849800 284 649 630 920 0 0
1670502849809 1670502849805 284 649 630 920 0 0
1670502849815 1670502849815 284 650 630 920 0 0
1670502849820 1670502849820 284 650 630 920 0 0
1670502849826 1670502849825 284 651 630 920 0 0
1670502849831 1670502849830 284 651 630 920 0 0
1670502849837 1670502849835 284 652 630 920 0 0
1670502849842 1670502849840 284 652 630 920 0 0
1670502849848 1670502849845 283 652 630 920 0 0
1670502849853 1670502849850 283 653 630 920 0 0
1670502849859 1670502849855 283 653 630 920 0 0
1670502849865 1670502849865 282 654 620 920 0 0
1670502849870 1670502849870 282 654 620 920 0 0
1670502849876 1670502849875 281 655 620 920 0 0
1670502849881 1670502849880 280 656 620 920 0 0
1670502849887 1670502849885 280 656 620 920 0 0
1670502849893 1670502849890 280 657 620 920 0 0
1670502849898 1670502849895 279 658 620 920 0 0
1670502849903 1670502849900 279 658 620 920 0 0
1670502849909 1670502849905 279 658 620 920 0 0
1670502849915 1670502849915 279 658 620 920 0 0
1670502849920 1670502849920 279 658 620 920 0 0
1670502849926 1670502849925 279 658 620 920 0 0
1670502849930 1670502849930 279 657 620 920 0 0
1670502849937 1670502849935 280 657 620 920 0 0
1670502849943 1670502849940 280 657 620 920 0 0
1670502849948 1670502849945 280 657 610 920 0 0
1670502849953 1670502849950 280 657 610 920 0 0
1670502849959 1670502849955 280 657 610 920 0 0
1670502849965 1670502849965 280 657 610 920 0 0
1670502849970 1670502849970 280 658 610 920 0 0
1670502849976 1670502849975 280 658 610 920 0 0
1670502849981 1670502849980 280 658 610 920 0 0
1670502849987 1670502849985 280 658 610 920 0 0
1670502849993 1670502849990 280 658 610 920 0 0
1670502849998 1670502849995 280 657 610 920 0 0
1670502850003 1670502850000 280 657 610 920 0 0
1670502850009 1670502850005 279 657 610 920 0 0
1670502850014 1670502850010 279 656 610 920 0 0
1670502850026 1670502850025 279 656 610 920 0 0
1670502850027 1670502850025 279 656 610 940 0 0
